	A	B	C	D	E
S	0.000	0.000	0.000	0.000	0.000
I0	0.000	0.000	0.000	0.000	0.000
M1	0.000	1.000	0.000	0.000	0.000
D1	0.000	0.000	0.000	0.000	0.000
I1	0.000	0.000	0.000	0.000	0.000
M2	0.889	0.000	0.000	0.000	0.111
D2	0.000	0.000	0.000	0.000	0.000
I2	0.000	0.000	0.000	0.000	0.000
M3	0.000	0.000	1.000	0.000	0.000
D3	0.000	0.000	0.000	0.000	0.000
I3	0.000	0.000	0.000	0.000	0.000
M4	0.000	0.000	0.111	0.889	0.000
D4	0.000	0.000	0.000	0.000	0.000
I4	0.000	0.000	0.000	0.000	0.000
M5	0.000	0.286	0.000	0.000	0.714
D5	0.000	0.000	0.000	0.000	0.000
I5	0.000	0.000	0.000	0.000	0.000
M6	0.000	0.000	0.857	0.000	0.143
D6	0.000	0.000	0.000	0.000	0.000
I6	0.000	0.000	0.000	0.000	0.000
M7	0.000	0.000	1.000	0.000	0.000
D7	0.000	0.000	0.000	0.000	0.000
I7	0.000	0.000	0.000	0.000	0.000
M8	0.143	0.000	0.000	0.857	0.000
D8	0.000	0.000	0.000	0.000	0.000
I8	0.000	0.000	0.000	0.000	0.000
M9	0.000	0.700	0.100	0.200	0.000
D9	0.000	0.000	0.000	0.000	0.000
I9	0.000	0.000	0.000	0.000	0.000
E	0.000	0.000	0.000	0.000	0.000
